Template name; Detection time (UTC); Number of channels; Channel list; Detection value; Threshold; Threshold type; Input threshold; Detection type
tempate_146; 2012-07-05T14:49:08.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.4465181827545166; 1.0884238481521606; MAD; 5; corr
tempate_454; 2012-08-16T22:58:34.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.2898088693618774; 0.9345421195030212; MAD; 5; corr
tempate_365; 2012-04-07T23:15:25.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.8607836365699768; 0.5066285133361816; MAD; 5; corr
tempate_61; 2012-09-16T16:07:10.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -2.070843458175659; 1.7188408374786377; MAD; 5; corr
tempate_200; 2012-08-10T06:10:48.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.3972203731536865; 1.0496021509170532; MAD; 5; corr
tempate_160; 2012-10-14T18:29:37.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.0861694812774658; 0.7386842370033264; MAD; 5; corr
tempate_412; 2013-11-08T19:09:06.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.7075088024139404; 1.3651695251464844; MAD; 5; corr
tempate_454; 2012-02-16T23:34:15.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.3819470405578613; 1.0402123928070068; MAD; 5; corr
tempate_433; 2012-06-20T12:47:00.000001Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.2667473554611206; 0.9273340702056885; MAD; 5; corr
tempate_288; 2013-10-27T01:28:26.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.9142414927482605; 0.576495885848999; MAD; 5; corr
tempate_288; 2013-02-26T03:32:23.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.0747400522232056; 0.7370516657829285; MAD; 5; corr
tempate_61; 2012-12-11T16:52:50.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9857630729675293; 1.6496241092681885; MAD; 5; corr
tempate_146; 2012-06-23T06:52:51.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.5451629161834717; 1.2115110158920288; MAD; 5; corr
tempate_22; 2012-02-23T23:08:54.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 3.0; 2.6683478355407715; MAD; 5; corr
tempate_421; 2013-01-10T00:34:40.009998Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.891555905342102; 1.5609978437423706; MAD; 5; corr
tempate_146; 2013-10-05T03:20:27.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.3338091373443604; 1.004049301147461; MAD; 5; corr
tempate_443; 2013-02-16T18:22:58.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.368279218673706; 1.0391483306884766; MAD; 5; corr
tempate_61; 2012-12-13T22:34:41.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.950814127922058; 1.625504732131958; MAD; 5; corr
tempate_365; 2012-03-31T08:25:17.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.7658728361129761; 0.44515442848205566; MAD; 5; corr
tempate_45; 2013-02-15T07:39:38.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9128016233444214; 1.59225332736969; MAD; 5; corr
tempate_201; 2013-12-08T08:18:58.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.8408942222595215; 1.5214369297027588; MAD; 5; corr
tempate_9; 2013-12-10T05:40:32.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.178403615951538; 0.8613755702972412; MAD; 5; corr
tempate_61; 2012-10-30T10:24:24.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9526677131652832; 1.6379592418670654; MAD; 5; corr
tempate_380; 2012-01-18T12:12:07.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.3879868984222412; 1.0747970342636108; MAD; 5; corr
tempate_61; 2012-12-01T05:53:52.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9725968837738037; 1.6598190069198608; MAD; 5; corr
tempate_523; 2012-09-11T18:23:28.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.143336296081543; 0.8308135271072388; MAD; 5; corr
tempate_271; 2013-12-09T18:21:43.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.961918592453003; 1.6507147550582886; MAD; 5; corr
tempate_315; 2012-03-26T08:59:45.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 0.9993337392807007; 0.6884945631027222; MAD; 5; corr
tempate_306; 2013-12-07T18:19:52.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.8970547914505005; 1.587672472000122; MAD; 5; corr
tempate_377; 2012-09-18T09:39:29.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.6720073223114014; 1.36471688747406; MAD; 5; corr
tempate_523; 2012-02-21T04:44:19.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.2162835597991943; 0.909380316734314; MAD; 5; corr
tempate_271; 2013-04-17T20:35:30.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.8282854557037354; 1.5251530408859253; MAD; 5; corr
tempate_412; 2013-10-23T17:40:04.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.437025547027588; 1.1345289945602417; MAD; 5; corr
tempate_212; 2012-03-15T02:36:09.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.3200209140777588; 1.0191584825515747; MAD; 5; corr
tempate_279; 2012-01-19T17:45:24.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.5120633840560913; 1.2125732898712158; MAD; 5; corr
tempate_288; 2012-10-10T11:01:02.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 0.8932026624679565; 0.5942578315734863; MAD; 5; corr
tempate_412; 2012-07-19T04:19:41.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.6875014305114746; 1.3913428783416748; MAD; 5; corr
tempate_282; 2013-01-08T14:12:49.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9300798177719116; 1.6339915990829468; MAD; 5; corr
tempate_212; 2012-09-11T20:56:19.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.2181763648986816; 0.9234059453010559; MAD; 5; corr
tempate_397; 2013-01-04T22:29:13.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.8900724053382874; 0.596084475517273; MAD; 5; corr
